Heating energy,Power,Natural gas,Oil fuel,Wood fuel
2018,0.18159,0.084512,0.0914,0.067116
2019,0.18358749,0.08571207,0.0934108,0.067921392
2020,0.185606952,0.086929182,0.095465838,0.068736449
2021,0.187648629,0.088163576,0.097566086,0.069561286
2022,0.189712764,0.089415499,0.09971254,0.070396022
2023,0.191799604,0.090685199,0.101906216,0.071240774
2024,0.1939094,0.091972929,0.104148153,0.072095663
2025,0.196042403,0.093278944,0.106439412,0.072960811
2026,0.19819887,0.094603505,0.108781079,0.073836341
2027,0.200379057,0.095946875,0.111174263,0.074722377
2028,0.202583227,0.097309321,0.113620096,0.075619045
2029,0.204811642,0.098691113,0.116119739,0.076526474
2030,0.20706457,0.100092527,0.118674373,0.077444792
2031,0.209342281,0.101513841,0.121285209,0.078374129
2032,0.211645046,0.102955337,0.123953484,0.079314619
2033,0.213973141,0.104417303,0.12668046,0.080266394
2034,0.216326846,0.105900029,0.12946743,0.081229591
2035,0.218706441,0.107403809,0.132315714,0.082204346
2036,0.221112212,0.108928943,0.13522666,0.083190798
2037,0.223544446,0.110475734,0.138201646,0.084189088
2038,0.226003435,0.11204449,0.141242082,0.085199357
2039,0.228489473,0.113635522,0.144349408,0.086221749
2040,0.231002857,0.115249146,0.147525095,0.08725641
2041,0.233543889,0.116885684,0.150770647,0.088303487
2042,0.236112871,0.118545461,0.154087601,0.089363129
2043,0.238710113,0.120228806,0.157477529,0.090435486
2044,0.241335924,0.121936055,0.160942034,0.091520712
2045,0.243990619,0.123667547,0.164482759,0.092618961
2046,0.246674516,0.125423626,0.16810138,0.093730388
2047,0.249387936,0.127204642,0.17179961,0.094855153
2048,0.252131203,0.129010948,0.175579202,0.095993415
2049,0.254904646,0.130842903,0.179441944,0.097145336
2050,0.257708598,0.132700872,0.183389667,0.09831108
2051,0.260543392,0.134585225,0.187424239,0.099490813
2052,0.263409369,0.136496335,0.191547573,0.100684702
2053,0.266306873,0.138434583,0.195761619,0.101892919
2054,0.269236248,0.140400354,0.200068375,0.103115634
2055,0.272197847,0.142394039,0.204469879,0.104353021
2056,0.275192023,0.144416034,0.208968216,0.105605258
2057,0.278219135,0.146466742,0.213565517,0.106872521
2058,0.281279546,0.14854657,0.218263959,0.108154991
2059,0.284373621,0.150655931,0.223065766,0.109452851
2060,0.287501731,0.152795245,0.227973213,0.110766285
2061,0.29066425,0.154964938,0.232988623,0.112095481
2062,0.293861557,0.15716544,0.238114373,0.113440626
2063,0.297094034,0.159397189,0.243352889,0.114801914
2064,0.300362068,0.161660629,0.248706653,0.116179537
2065,0.303666051,0.16395621,0.254178199,0.117573691
2066,0.307006377,0.166284389,0.259770119,0.118984576
2067,0.310383447,0.168645627,0.265485062,0.12041239
2068,0.313797665,0.171040395,0.271325733,0.121857339
2069,0.31724944,0.173469168,0.2772949,0.123319627
2070,0.320739184,0.175932431,0.283395387,0.124799463
2071,0.324267315,0.178430671,0.289630086,0.126297056
2072,0.327834255,0.180964387,0.296001948,0.127812621
2073,0.331440432,0.183534081,0.302513991,0.129346372
2074,0.335086277,0.186140265,0.309169298,0.130898529
2075,0.338772226,0.188783457,0.315971023,0.132469311
2076,0.34249872,0.191464182,0.322922386,0.134058943
2077,0.346266206,0.194182973,0.330026678,0.13566765
2078,0.350075134,0.196940371,0.337287265,0.137295662
2079,0.353925961,0.199736925,0.344707585,0.13894321
2080,0.357819146,0.202573189,0.352291152,0.140610529
